,en,fr
0,"Two young, White males are outside near many bushes.",Deux jeunes mâles blancs se trouvent à l’extérieur près de nombreux buissons.
0,Several men in hard hats are operating a giant pulley system.,Plusieurs hommes portant un chapeau d'assaut font fonctionner un système géant de poulies.
0,A little girl climbing into a wooden playhouse.,Une petite fille grimpant dans une maison de jeux en bois.
0,A man in a blue shirt is standing on a ladder cleaning a window.,Un homme en chemise bleue se tient sur une échelle pour nettoyer une fenêtre.
0,Two men are at the stove preparing food.,Deux hommes sont à la cuisinière pour préparer la nourriture.
0,A man in green holds a guitar while the other man observes his shirt.,Un homme vert tient une guitare tandis que l'autre observe sa chemise.
0,A man is smiling at a stuffed lion,Un homme sourit à un lion rempli
0,A trendy girl talking on her cellphone while gliding slowly down the street.,Une jeune fille à la mode parlant sur son téléphone cellulaire tout en s'élançant lentement dans la rue.
0,A woman with a large purse is walking by a gate.,Une femme porteuse d'un grand sac se promène près d'une porte.
0,Boys dancing on poles in the middle of the night.,Les garçons dansent sur des mâts au milieu de la nuit.
0,A ballet class of five girls jumping in sequence.,Une classe de ballet de cinq filles sautant en séquence.
0,Four guys three wearing hats one not are jumping at the top of a staircase.,"Quatre gars, trois portant des chapeaux, un ne sautent pas au sommet d'un escalier."
0,A black dog and a spotted dog are fighting,Un chien noir et un chien tacheté se battent
0,A man in a neon green and orange uniform is driving on a green tractor.,Un homme en uniforme vert néon et orange conduit sur un tracteur vert.
0,Several women wait outside in a city.,Plusieurs femmes attendent à l'extérieur d'une ville.
0,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.,Une femme en dessus noir et en verres arrose du sucre en poudre sur un gâteau.
0,A little girl is sitting in front of a large painted rainbow.,Une petite fille est assise devant un grand arc-en-ciel peint.
0,A man lays on the bench to which a white dog is also tied.,Un homme se couche sur le banc auquel un chien blanc est également lié.
0,Five people are sitting in a circle with instruments.,Cinq personnes sont assises dans un cercle avec des instruments.
0,A bunch of elderly women play their clarinets together as they read off sheet music.,Un groupe de femmes âgées jouent ensemble leurs clarinettes alors qu'elles lisent des extraits de musique.
0,A large structure has broken and is laying in a roadway.,Une grande structure s'est brisée et se trouve dans une route.
0,A large crowd of people stand outside in front of the entrance to a Metro station.,Une foule importante de personnes se tiennent à l'extérieur devant l'entrée d'une station de métro.
0,A man getting a tattoo on his back.,Un homme ayant un tatouage sur son dos.
0,Two children sit on a small seesaw in the sand.,Deux enfants sont assis sur une petite scie dans le sable.
0,A man wearing a reflective vest and a hard hat holds a flag in the road,Un homme portant un gilet réfléchissant et un casque de sécurité tient un drapeau sur la route
0,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",Une personne vêtue d'un manteau bleu se trouve sur un trottoir achalandé et étudie la peinture d'une scène de rue.
0,A man in green pants walking down the road.,Un homme en pantalons verts marchant sur la route.
0,The small child climbs on a red ropes on a playground.,Le petit enfant grimpe sur une corde rouge sur un terrain de jeux.
0,You know i am looking like Justin Bieber.,Vous savez que je ressemble à Justin Bieber.
0,A young man in a black and yellow jacket is gazing at something and smiling.,Un jeune homme en veste noire et jaune regarde quelque chose et sourit.
0,A man standing at a urinal with a coffee cup.,Un homme debout à une urinale avec une tasse de café.
0,Five people walking with a multicolored sky in the background.,Cinq personnes marchent avec un ciel multicolore en arrière-plan.
0,A old man having a beer alone.,Un vieux homme en bière seule.
0,A trained police dog sits next to his handler in front of the police van.,Un chien de police entraîné est assis à côté de son maître devant la fourgonnette de police.
0,A person riding a bike on a snowy road.,Une personne à bicyclette sur une route enneigée.
0,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.","Cinq hommes, uniformément vêtus de chemises blanches, de cravate et de pantalons noirs, discutent à l'arrière d'une fourgonnette ouverte."
0,A man with a backwards hat works on machinery.,Un homme portant un chapeau en arrière travaille sur des machines.
0,A black woman and a white man working in a factory setting packing jars with candles into boxes.,Une femme noire et un homme blanc travaillant dans une usine emballent des pots contenant des bougies dans des boîtes.
0,Asian man sweeping the walkway.,Un homme asiatique balayant la passerelle.
0,"A man leans into a car to talk to the driver, as a man on a bicycle looks on.","Un homme se levant dans une voiture pour parler au conducteur, alors qu'un homme à bicyclette regarde."
0,Two young toddlers outside on the grass.,Deux jeunes tout-petits à l'extérieur sur l'herbe.
0,People are watching a person in a weird vehicle in a plaza.,Les gens regardent une personne dans un véhicule étrange sur une place.
0,A man walks by a silver vehicle.,Un homme passe par un véhicule argenté.
0,A beautiful bride walking on a sidewalk with her new husband.,Une belle mariée marchant sur un trottoir avec son nouveau mari.
0,A little boy playing GameCube at a McDonald's.,Un petit garçon jouant à GameCube à un McDonald's.
0,A white dog shakes on the edge of a beach with an orange ball.,Un chien blanc se tremble au bord d'une plage avec une boule orange.
0,A group of people having a barbecue at a park.,Un groupe de personnes ayant un barbecue dans un parc.
0,A man in sunglasses puts his arm around a woman in a black and white blouse.,Un homme en lunettes de soleil se tient autour d'une femme en blouse noire et blanche.
0,A man with a balloon hat and people eating outdoors at picnic tables.,Un homme avec un chapeau à ballon et des gens mangeant à l'extérieur à des tables de pique-nique.
0,A boy jump kicking over three kids kicking wood during a tae kwon do competition.,Un garçon saute au-dessus de trois enfants battant du bois pendant une compétition de tae kwon do.
0,A boy in a red jacket pouring water on a man in a white shirt,Un garçon en veste rouge versant de l'eau sur un homme en chemise blanche
0,A man with a red jacket is shielding himself from the sun trying to read a piece of paper.,Un homme portant une veste rouge se protège du soleil en essayant de lire un morceau de papier.
0,Men walking down a street with children.,Hommes marchant dans une rue avec des enfants.
0,A little boy is standing on the street while a man in overalls is working on a stone wall.,Un petit garçon est debout dans la rue alors qu'un homme en salope travaille sur un mur de pierre.
0,A black dog leaps over a log.,Un chien noir saute au-dessus d'une bille.
0,"A man in a suit is running past two other gentleman, also dressed in a suit.","Un homme en tenue passe devant deux autres hommes, également vêtus d'une tenue."
0,Man in a red shirt riding his bicycle around water.,Homme en chemise rouge à bicyclette autour de l'eau.
0,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.,Un homme à pieds nus portant des shorts vert olive grillant des hotdogs sur un petit grill au propane tout en tenant une tasse de plastique bleue.
0,A dog is running in the snow,Un chien roule dans la neige
0,A crowd is standing and waiting for the green light.,Une foule est debout et attend le feu vert.
0,Man on skis looking at artwork for sale in the snow,Homme à ski regardant des uvres d'art à vendre en neige
